,Data e hora protocolo,Equipamento,Valor
7454,29/09/2023 09:14:15.701,JAI4,1
7453,29/09/2023 09:16:28.748,JAI4,0
7452,29/09/2023 09:17:27.657,JAI4,1
7451,29/09/2023 09:17:40.857,JAI4,0
7450,29/09/2023 09:17:49.995,JAI4,1
7449,29/09/2023 09:17:57.103,JAI4,0
7448,29/09/2023 09:18:10.319,JAI4,1
7447,29/09/2023 09:19:13.289,JAI4,0
7446,29/09/2023 09:20:57.890,JAI4,1
7445,29/09/2023 09:21:56.799,JAI4,0
7444,29/09/2023 09:23:30.230,JAI4,1
7443,29/09/2023 09:23:44.461,JAI4,0
7442,29/09/2023 09:24:14.923,JAI4,1
7441,29/09/2023 09:25:27.032,JAI4,0
7440,29/09/2023 10:47:09.471,JAI4,1
7438,29/09/2023 10:47:54.149,JAI4,0
7437,29/09/2023 10:48:03.287,JAI4,1
7436,29/09/2023 10:48:08.364,JAI4,0
7435,29/09/2023 10:48:45.949,JAI4,1
7434,29/09/2023 10:48:53.057,JAI4,0
7433,29/09/2023 10:49:03.211,JAI4,1
7432,29/09/2023 10:49:06.257,JAI4,0
7430,29/09/2023 10:49:25.565,JAI4,1
7429,29/09/2023 10:49:34.704,JAI4,0
7428,29/09/2023 10:49:59.073,JAI4,1
7427,29/09/2023 10:50:02.120,JAI4,0
7426,29/09/2023 10:50:14.304,JAI4,1
7425,29/09/2023 10:50:21.412,JAI4,0
7424,29/09/2023 10:50:44.782,JAI4,1
7422,29/09/2023 10:50:58.997,JAI4,0
7421,29/09/2023 10:51:03.059,JAI4,1
7420,29/09/2023 10:51:09.151,JAI4,0
7419,29/09/2023 10:51:23.367,JAI4,1
7418,29/09/2023 10:51:38.613,JAI4,0
7417,29/09/2023 10:51:42.675,JAI4,1
7416,29/09/2023 10:51:58.921,JAI4,0
7414,29/09/2023 10:52:22.275,JAI4,1
7413,29/09/2023 10:52:41.583,JAI4,0
7411,29/09/2023 10:53:14.076,JAI4,1
7409,29/09/2023 10:53:23.214,JAI4,0
7408,29/09/2023 10:53:31.337,JAI4,1
7407,29/09/2023 10:53:48.615,JAI4,0
7406,29/09/2023 10:54:22.123,JAI4,1
7405,29/09/2023 10:54:41.415,JAI4,0
7404,29/09/2023 10:54:47.507,JAI4,1
7403,29/09/2023 10:54:55.646,JAI4,0
7402,29/09/2023 10:54:58.692,JAI4,1
7401,29/09/2023 10:55:05.800,JAI4,0
7400,29/09/2023 10:55:46.416,JAI4,1
7399,29/09/2023 10:55:51.493,JAI4,0
7398,29/09/2023 10:56:09.786,JAI4,1
7397,29/09/2023 10:56:13.847,JAI4,0
7396,29/09/2023 10:57:34.079,JAI4,1
7395,29/09/2023 10:58:38.064,JAI4,0
7394,29/09/2023 11:08:33.225,JAI4,1
7393,29/09/2023 11:08:58.610,JAI4,0
7390,29/09/2023 11:17:18.308,JAI4,1
7389,29/09/2023 11:18:42.602,JAI4,0
7388,29/09/2023 11:20:47.526,JAI4,1
7387,29/09/2023 11:20:51.588,JAI4,0
7386,29/09/2023 11:23:58.467,JAI4,1
7385,29/09/2023 11:24:29.944,JAI4,0
7376,29/09/2023 12:38:45.521,JAI4,1
7375,29/09/2023 12:39:14.967,JAI4,0
7364,30/09/2023 09:38:06.465,JAI4,1
7363,30/09/2023 09:38:10.527,JAI4,0
7362,30/09/2023 09:44:21.239,JAI4,1
