,Data e hora protocolo,Equipamento,Valor
7361,30/09/2023 09:47:33.195,JAI4,0
7360,30/09/2023 09:47:43.349,JAI4,1
7359,30/09/2023 09:48:07.718,JAI4,0
7358,30/09/2023 09:48:40.227,JAI4,1
7357,30/09/2023 09:51:42.029,JAI4,0
7356,30/09/2023 09:52:42.968,JAI4,1
7355,30/09/2023 09:52:54.137,JAI4,0
7354,30/09/2023 09:52:59.214,JAI4,1
7353,30/09/2023 09:53:10.384,JAI4,0
7352,30/09/2023 09:53:13.430,JAI4,1
7351,30/09/2023 09:54:06.246,JAI4,0
7350,30/09/2023 09:54:24.523,JAI4,1
7349,30/09/2023 09:56:39.601,JAI4,0
7348,30/09/2023 10:01:17.882,JAI4,1
7347,30/09/2023 10:01:22.959,JAI4,0
7346,30/09/2023 10:03:24.837,JAI4,1
7345,30/09/2023 10:03:33.975,JAI4,0
7344,30/09/2023 10:04:00.391,JAI4,1
7343,30/09/2023 10:07:36.717,JAI4,0
7342,30/09/2023 10:08:15.317,JAI4,1
7341,30/09/2023 10:10:12.103,JAI4,0
7340,30/09/2023 10:11:28.289,JAI4,1
7339,30/09/2023 10:12:12.966,JAI4,0
7338,30/09/2023 10:14:27.029,JAI4,1
7337,30/09/2023 10:14:42.260,JAI4,0
7336,30/09/2023 10:16:16.723,JAI4,1
7335,30/09/2023 10:16:40.077,JAI4,0
7334,30/09/2023 10:18:04.386,JAI4,1
7333,30/09/2023 10:18:07.432,JAI4,0
7332,30/09/2023 10:21:39.696,JAI4,1
7331,30/09/2023 10:21:43.758,JAI4,0
7330,30/09/2023 10:21:48.835,JAI4,1
7329,30/09/2023 10:23:29.374,JAI4,0
7328,30/09/2023 10:23:58.836,JAI4,1
7327,30/09/2023 10:27:11.808,JAI4,0
7326,30/09/2023 10:27:15.869,JAI4,1
7325,30/09/2023 10:27:44.300,JAI4,0
7324,30/09/2023 10:27:48.362,JAI4,1
7323,30/09/2023 10:27:57.500,JAI4,0
7322,30/09/2023 10:28:00.562,JAI4,1
7321,30/09/2023 10:28:11.731,JAI4,0
7320,30/09/2023 10:29:17.748,JAI4,1
7319,30/09/2023 10:29:41.102,JAI4,0
7318,30/09/2023 10:31:05.395,JAI4,1
7317,30/09/2023 10:31:33.841,JAI4,0
7316,30/09/2023 10:33:50.951,JAI4,1
7315,30/09/2023 10:36:01.968,JAI4,0
7314,30/09/2023 10:36:31.414,JAI4,1
7313,30/09/2023 10:37:33.369,JAI4,0
7312,30/09/2023 10:37:40.476,JAI4,1
7311,30/09/2023 10:38:17.046,JAI4,0
7310,30/09/2023 10:38:58.677,JAI4,1
7309,30/09/2023 10:41:23.925,JAI4,0
7308,30/09/2023 10:43:07.511,JAI4,1
7307,30/09/2023 10:43:39.004,JAI4,0
7306,30/09/2023 10:44:10.481,JAI4,1
7305,30/09/2023 10:44:15.558,JAI4,0
7304,30/09/2023 10:49:20.254,JAI4,1
7303,30/09/2023 10:51:14.009,JAI4,0
7302,30/09/2023 10:51:41.425,JAI4,1
7301,30/09/2023 10:53:43.303,JAI4,0
7300,30/09/2023 10:54:19.857,JAI4,1
7299,30/09/2023 10:55:45.181,JAI4,0
7298,30/09/2023 10:56:54.244,JAI4,1
7297,30/09/2023 10:57:03.382,JAI4,0
7296,30/09/2023 10:59:38.769,JAI4,1
7295,30/09/2023 11:03:01.894,JAI4,0
7294,30/09/2023 11:03:27.295,JAI4,1
7293,30/09/2023 11:04:03.849,JAI4,0
7292,30/09/2023 11:04:30.265,JAI4,1
7291,30/09/2023 11:05:14.942,JAI4,0
7290,30/09/2023 11:05:17.988,JAI4,1
7289,30/09/2023 11:06:44.328,JAI4,0
7288,30/09/2023 11:06:51.435,JAI4,1
7287,30/09/2023 11:07:00.574,JAI4,0
7286,30/09/2023 11:07:35.097,JAI4,1
7285,30/09/2023 11:08:27.913,JAI4,0
7284,30/09/2023 11:08:41.113,JAI4,1
7283,30/09/2023 11:08:48.237,JAI4,0
7282,30/09/2023 11:09:19.714,JAI4,1
7281,30/09/2023 11:10:10.499,JAI4,0
7280,30/09/2023 11:10:14.561,JAI4,1
7279,30/09/2023 11:11:30.731,JAI4,0
7278,30/09/2023 11:12:34.716,JAI4,1
7277,30/09/2023 11:12:48.932,JAI4,0
7276,30/09/2023 11:13:08.224,JAI4,1
7275,30/09/2023 11:13:33.625,JAI4,0
7274,30/09/2023 11:13:41.748,JAI4,1
7273,30/09/2023 11:15:17.210,JAI4,0
7272,30/09/2023 11:16:02.919,JAI4,1
7271,30/09/2023 11:16:46.596,JAI4,0
7270,30/09/2023 11:17:03.858,JAI4,1
7269,30/09/2023 11:17:19.089,JAI4,0
7268,30/09/2023 11:17:33.304,JAI4,1
7267,30/09/2023 11:17:44.489,JAI4,0
7266,30/09/2023 11:17:51.597,JAI4,1
7265,30/09/2023 11:17:56.674,JAI4,0
7264,30/09/2023 11:17:59.720,JAI4,1
7263,30/09/2023 11:18:13.936,JAI4,0
7262,30/09/2023 11:18:17.997,JAI4,1
7261,30/09/2023 11:18:22.059,JAI4,0
7260,30/09/2023 11:18:26.120,JAI4,1
7259,30/09/2023 11:19:20.967,JAI4,0
7258,30/09/2023 11:19:40.260,JAI4,1
7257,30/09/2023 11:19:43.306,JAI4,0
7256,30/09/2023 11:19:50.429,JAI4,1
7255,30/09/2023 11:20:16.829,JAI4,0
7254,30/09/2023 11:24:09.401,JAI4,1
7253,30/09/2023 11:24:13.478,JAI4,0
7252,30/09/2023 11:24:20.586,JAI4,1
7251,30/09/2023 11:25:53.002,JAI4,0
7250,30/09/2023 11:25:57.064,JAI4,1
7249,30/09/2023 11:26:15.341,JAI4,0
7248,30/09/2023 11:26:20.418,JAI4,1
7247,30/09/2023 11:26:31.603,JAI4,0
7246,30/09/2023 11:26:42.772,JAI4,1
7245,30/09/2023 11:26:48.865,JAI4,0
7244,30/09/2023 11:26:52.926,JAI4,1
7243,30/09/2023 11:26:56.988,JAI4,0
7242,30/09/2023 11:27:12.219,JAI4,1
7241,30/09/2023 11:27:28.465,JAI4,0
7240,30/09/2023 11:27:43.712,JAI4,1
7239,30/09/2023 11:27:50.819,JAI4,0
7238,30/09/2023 11:28:32.450,JAI4,1
7237,30/09/2023 11:29:20.189,JAI4,0
7236,30/09/2023 11:29:25.266,JAI4,1
7235,30/09/2023 11:29:38.467,JAI4,0
7234,30/09/2023 11:29:42.544,JAI4,1
7233,30/09/2023 11:30:20.113,JAI4,0
7232,30/09/2023 11:30:34.329,JAI4,1
7231,30/09/2023 11:30:37.375,JAI4,0
7230,30/09/2023 11:30:41.436,JAI4,1
7229,30/09/2023 11:30:44.483,JAI4,0
7228,30/09/2023 11:30:55.668,JAI4,1
7227,30/09/2023 11:31:24.099,JAI4,0
7226,30/09/2023 11:31:27.145,JAI4,1
7225,30/09/2023 11:31:31.206,JAI4,0
7224,30/09/2023 11:31:34.253,JAI4,1
7223,30/09/2023 11:31:47.453,JAI4,0
7222,30/09/2023 11:31:55.591,JAI4,1
7221,30/09/2023 11:32:07.776,JAI4,0
7220,30/09/2023 11:32:34.176,JAI4,1
7219,30/09/2023 11:32:55.500,JAI4,0
7218,30/09/2023 11:33:01.608,JAI4,1
7217,30/09/2023 11:33:07.700,JAI4,0
7216,30/09/2023 11:33:17.854,JAI4,1
7215,30/09/2023 11:33:20.900,JAI4,0
7214,30/09/2023 11:33:23.946,JAI4,1
7213,30/09/2023 11:33:48.316,JAI4,0
7212,30/09/2023 11:33:51.362,JAI4,1
7211,30/09/2023 11:34:19.808,JAI4,0
7210,30/09/2023 11:34:53.316,JAI4,1
7209,30/09/2023 11:34:58.393,JAI4,0
7208,30/09/2023 11:35:56.286,JAI4,1
7207,30/09/2023 11:36:07.456,JAI4,0
7206,30/09/2023 11:36:41.995,JAI4,1
7205,30/09/2023 11:36:45.041,JAI4,0
7204,30/09/2023 11:37:17.533,JAI4,1
7203,30/09/2023 11:37:39.888,JAI4,0
7202,30/09/2023 11:37:44.965,JAI4,1
7201,30/09/2023 11:38:27.611,JAI4,0
7200,30/09/2023 11:38:31.688,JAI4,1
7199,30/09/2023 11:38:35.750,JAI4,0
7198,30/09/2023 11:38:59.104,JAI4,1
7197,30/09/2023 11:39:17.381,JAI4,0
7196,30/09/2023 11:39:20.427,JAI4,1
7195,30/09/2023 11:39:46.843,JAI4,0
7194,30/09/2023 11:40:01.059,JAI4,1
7193,30/09/2023 11:40:09.182,JAI4,0
7192,30/09/2023 11:40:12.228,JAI4,1
7191,30/09/2023 11:40:16.289,JAI4,0
7190,30/09/2023 11:40:19.336,JAI4,1
7189,30/09/2023 11:40:45.751,JAI4,0
7188,30/09/2023 11:40:51.844,JAI4,1
7187,30/09/2023 11:40:55.905,JAI4,0
7186,30/09/2023 11:41:14.182,JAI4,1
7185,30/09/2023 11:41:17.229,JAI4,0
7184,30/09/2023 11:41:28.398,JAI4,1
7183,30/09/2023 11:41:51.768,JAI4,0
7182,30/09/2023 11:42:10.045,JAI4,1
7181,30/09/2023 11:42:49.645,JAI4,0
7180,30/09/2023 11:43:36.369,JAI4,1
7179,30/09/2023 11:45:40.278,JAI4,0
7176,30/09/2023 11:47:53.326,JAI4,1
7175,30/09/2023 11:48:00.433,JAI4,0
7174,30/09/2023 11:49:59.265,JAI4,1
7173,30/09/2023 11:51:03.251,JAI4,0
7172,30/09/2023 11:51:52.005,JAI4,1
7171,30/09/2023 11:53:05.129,JAI4,0
7170,30/09/2023 11:53:30.514,JAI4,1
7169,30/09/2023 11:54:00.991,JAI4,0
7168,30/09/2023 11:54:25.361,JAI4,1
7167,30/09/2023 11:54:30.438,JAI4,0
7166,30/09/2023 11:54:52.776,JAI4,1
7165,30/09/2023 11:55:08.023,JAI4,0
7164,30/09/2023 11:57:38.332,JAI4,1
7163,30/09/2023 11:58:21.994,JAI4,0
7162,30/09/2023 12:05:00.138,JAI4,1
7161,30/09/2023 12:07:29.432,JAI4,0
7160,30/09/2023 12:07:55.832,JAI4,1
7159,30/09/2023 12:08:07.001,JAI4,0
7158,30/09/2023 12:08:11.063,JAI4,1
7157,30/09/2023 12:08:40.525,JAI4,0
7156,30/09/2023 12:10:56.619,JAI4,1
7155,30/09/2023 12:12:35.127,JAI4,0
7154,30/09/2023 12:12:38.173,JAI4,1
7153,30/09/2023 12:15:01.391,JAI4,0
7152,30/09/2023 12:15:05.452,JAI4,1
7151,30/09/2023 12:15:28.806,JAI4,0
7150,30/09/2023 12:15:31.852,JAI4,1
7149,30/09/2023 12:15:54.191,JAI4,0
7148,30/09/2023 12:15:57.237,JAI4,1
7147,30/09/2023 12:16:26.684,JAI4,0
7146,30/09/2023 12:16:33.791,JAI4,1
7145,30/09/2023 12:16:49.022,JAI4,0
7144,30/09/2023 12:16:53.084,JAI4,1
7143,30/09/2023 12:17:36.761,JAI4,0
7142,30/09/2023 12:17:46.915,JAI4,1
7141,30/09/2023 12:18:09.254,JAI4,0
7140,30/09/2023 12:18:18.408,JAI4,1
7139,30/09/2023 12:18:28.562,JAI4,0
7138,30/09/2023 12:18:38.716,JAI4,1
7137,30/09/2023 12:18:44.808,JAI4,0
7136,30/09/2023 12:18:59.024,JAI4,1
7135,30/09/2023 12:19:02.070,JAI4,0
7134,30/09/2023 12:19:20.363,JAI4,1
7133,30/09/2023 12:19:50.824,JAI4,0
7132,30/09/2023 12:19:53.871,JAI4,1
7131,30/09/2023 12:19:57.932,JAI4,0
7130,30/09/2023 12:20:26.379,JAI4,1
7129,30/09/2023 12:20:31.456,JAI4,0
7128,30/09/2023 12:20:37.548,JAI4,1
7127,30/09/2023 12:20:41.610,JAI4,0
7126,30/09/2023 12:20:45.671,JAI4,1
7125,30/09/2023 12:20:53.794,JAI4,0
7124,30/09/2023 12:21:06.995,JAI4,1
7123,30/09/2023 12:21:19.179,JAI4,0
7122,30/09/2023 12:24:01.689,JAI4,1
7121,30/09/2023 12:24:57.551,JAI4,0
7120,30/09/2023 12:25:19.890,JAI4,1
7119,30/09/2023 12:25:22.936,JAI4,0
7118,30/09/2023 12:25:31.059,JAI4,1
7117,30/09/2023 12:26:00.521,JAI4,0
7116,30/09/2023 12:26:22.860,JAI4,1
7115,30/09/2023 12:26:58.399,JAI4,0
7114,30/09/2023 12:27:02.476,JAI4,1
7113,30/09/2023 12:27:06.537,JAI4,0
7112,30/09/2023 12:27:22.784,JAI4,1
7111,30/09/2023 12:27:31.922,JAI4,0
7110,30/09/2023 12:27:36.999,JAI4,1
7109,30/09/2023 12:28:53.169,JAI4,0
7108,30/09/2023 12:30:12.385,JAI4,1
7107,30/09/2023 12:30:22.555,JAI4,0
7106,30/09/2023 12:31:37.710,JAI4,1
7105,30/09/2023 12:33:08.095,JAI4,0
7104,30/09/2023 12:33:39.588,JAI4,1
7103,30/09/2023 12:33:42.634,JAI4,0
7102,30/09/2023 12:33:49.742,JAI4,1
7101,30/09/2023 12:34:24.265,JAI4,0
7100,30/09/2023 12:56:57.097,JAI4,1
7099,30/09/2023 12:58:36.621,JAI4,0
7077,01/10/2023 11:14:40.374,JAI4,1
7076,01/10/2023 11:15:22.020,JAI4,0
7075,01/10/2023 11:38:36.483,JAI4,1
7074,01/10/2023 11:39:54.684,JAI4,0
7073,01/10/2023 11:40:01.791,JAI4,1
7072,01/10/2023 11:40:13.976,JAI4,0
7071,01/10/2023 11:40:20.068,JAI4,1
7070,01/10/2023 11:40:41.407,JAI4,0
7069,01/10/2023 11:46:53.119,JAI4,1
7068,01/10/2023 11:48:11.336,JAI4,0
7067,01/10/2023 12:00:48.990,JAI4,1
7066,01/10/2023 12:02:46.807,JAI4,0
7065,01/10/2023 12:25:39.946,JAI4,1
7064,01/10/2023 12:27:01.193,JAI4,0
7063,01/10/2023 12:27:15.409,JAI4,1
7062,01/10/2023 12:27:25.563,JAI4,0
7061,01/10/2023 12:28:24.471,JAI4,1
7060,01/10/2023 12:28:28.533,JAI4,0
7059,01/10/2023 12:29:35.564,JAI4,1
7058,01/10/2023 12:30:47.673,JAI4,0
7057,01/10/2023 12:30:54.780,JAI4,1
7056,01/10/2023 12:31:33.381,JAI4,0
7055,01/10/2023 12:31:59.781,JAI4,1
7054,01/10/2023 12:33:16.982,JAI4,0
7053,01/10/2023 12:33:37.290,JAI4,1
7052,01/10/2023 12:33:51.506,JAI4,0
7051,01/10/2023 12:33:57.598,JAI4,1
7050,01/10/2023 12:34:03.690,JAI4,0
7049,01/10/2023 12:35:00.568,JAI4,1
7048,01/10/2023 12:35:15.799,JAI4,0
7047,01/10/2023 12:35:19.860,JAI4,1
7046,01/10/2023 12:35:26.968,JAI4,0
7045,01/10/2023 12:35:43.230,JAI4,1
7044,01/10/2023 12:35:52.369,JAI4,0
7043,01/10/2023 12:35:57.446,JAI4,1
7042,01/10/2023 12:36:01.507,JAI4,0
7041,01/10/2023 12:36:04.553,JAI4,1
7040,01/10/2023 12:36:10.646,JAI4,0
7039,01/10/2023 12:36:19.784,JAI4,1
7038,01/10/2023 12:36:23.846,JAI4,0
7037,01/10/2023 12:36:27.907,JAI4,1
7036,01/10/2023 12:36:52.292,JAI4,0
7035,01/10/2023 12:36:59.400,JAI4,1
7034,01/10/2023 12:37:07.523,JAI4,0
7033,01/10/2023 12:37:13.616,JAI4,1
7032,01/10/2023 12:37:22.754,JAI4,0
7031,01/10/2023 12:37:26.816,JAI4,1
7030,01/10/2023 12:37:30.877,JAI4,0
7029,01/10/2023 12:38:27.755,JAI4,1
7028,01/10/2023 12:38:46.048,JAI4,0
7027,01/10/2023 12:39:45.956,JAI4,1
7026,01/10/2023 12:40:51.972,JAI4,0
7025,01/10/2023 12:40:57.049,JAI4,1
7024,01/10/2023 12:41:22.449,JAI4,0
7023,01/10/2023 12:41:32.603,JAI4,1
7022,01/10/2023 12:41:37.680,JAI4,0
7021,01/10/2023 12:41:47.834,JAI4,1
7020,01/10/2023 12:42:00.019,JAI4,0
7019,01/10/2023 12:42:04.096,JAI4,1
7018,01/10/2023 12:42:07.142,JAI4,0
7017,01/10/2023 12:42:51.820,JAI4,1
7016,01/10/2023 12:42:55.881,JAI4,0
7015,01/10/2023 12:43:06.035,JAI4,1
7014,01/10/2023 12:43:10.097,JAI4,0
7013,01/10/2023 12:43:28.389,JAI4,1
7012,01/10/2023 12:43:31.436,JAI4,0
7011,01/10/2023 12:53:56.043,JAI4,1
7010,01/10/2023 12:55:01.043,JAI4,0
7009,01/10/2023 13:02:52.295,JAI4,1
7008,01/10/2023 13:04:37.927,JAI4,0
7007,01/10/2023 13:07:12.298,JAI4,1
7006,01/10/2023 13:08:04.099,JAI4,0
7005,01/10/2023 13:08:12.222,JAI4,1
7004,01/10/2023 13:08:38.638,JAI4,0
7003,01/10/2023 13:08:47.776,JAI4,1
7002,01/10/2023 13:08:51.838,JAI4,0
6989,03/10/2023 14:11:06.862,JAI4,1
6988,03/10/2023 14:11:43.432,JAI4,0
6987,03/10/2023 14:11:56.632,JAI4,1
6986,03/10/2023 14:12:02.725,JAI4,0
6983,04/10/2023 09:21:48.475,JAI4,1
6982,04/10/2023 09:24:46.215,JAI4,0
6981,04/10/2023 09:24:56.369,JAI4,1
6980,04/10/2023 09:25:13.631,JAI4,0
6979,04/10/2023 09:25:26.831,JAI4,1
6978,04/10/2023 09:25:29.877,JAI4,0
6977,04/10/2023 09:25:41.047,JAI4,1
6976,04/10/2023 09:26:19.647,JAI4,0
6975,04/10/2023 09:26:28.786,JAI4,1
6974,04/10/2023 09:26:37.924,JAI4,0
6973,04/10/2023 09:26:45.032,JAI4,1
6972,04/10/2023 09:27:06.371,JAI4,0
6971,04/10/2023 09:27:17.540,JAI4,1
6969,04/10/2023 09:27:22.617,JAI4,0
6957,05/10/2023 09:17:56.847,JAI4,1
6955,05/10/2023 09:19:40.448,JAI4,0
6954,05/10/2023 09:19:48.572,JAI4,1
6952,05/10/2023 09:20:04.818,JAI4,0
6951,05/10/2023 09:20:19.049,JAI4,1
6950,05/10/2023 09:20:32.249,JAI4,0
6949,05/10/2023 09:20:48.495,JAI4,1
6948,05/10/2023 09:20:55.603,JAI4,0
6946,05/10/2023 09:21:10.834,JAI4,1
6945,05/10/2023 09:21:32.173,JAI4,0
6943,05/10/2023 09:21:59.589,JAI4,1
6940,05/10/2023 09:22:32.097,JAI4,0
6939,05/10/2023 09:22:45.297,JAI4,1
6937,05/10/2023 09:23:31.005,JAI4,0
6931,05/10/2023 09:24:22.790,JAI4,1
6930,05/10/2023 09:24:26.852,JAI4,0
6929,05/10/2023 09:24:38.037,JAI4,1
6927,05/10/2023 09:24:56.314,JAI4,0
6925,05/10/2023 09:25:15.606,JAI4,1
6920,05/10/2023 09:25:38.960,JAI4,0
6918,05/10/2023 09:25:56.238,JAI4,1
6917,05/10/2023 09:26:06.392,JAI4,0
6916,05/10/2023 09:26:43.961,JAI4,1
6914,05/10/2023 09:27:01.239,JAI4,0
6913,05/10/2023 09:27:13.423,JAI4,1
6912,05/10/2023 09:27:19.516,JAI4,0
6906,05/10/2023 10:02:58.434,JAI4,1
6904,05/10/2023 10:03:15.712,JAI4,0
6903,05/10/2023 10:03:39.066,JAI4,1
6902,05/10/2023 10:04:26.805,JAI4,0
6901,05/10/2023 10:04:31.882,JAI4,1
6900,05/10/2023 10:04:49.144,JAI4,0
6899,05/10/2023 10:05:26.729,JAI4,1
6898,05/10/2023 10:05:39.929,JAI4,0
6897,05/10/2023 10:05:48.052,JAI4,1
6896,05/10/2023 10:07:57.038,JAI4,0
6895,05/10/2023 10:08:16.331,JAI4,1
6894,05/10/2023 10:08:31.562,JAI4,0
6893,05/10/2023 10:08:45.793,JAI4,1
6892,05/10/2023 10:08:56.962,JAI4,0
6891,05/10/2023 10:09:18.285,JAI4,1
6890,05/10/2023 10:09:38.593,JAI4,0
6889,05/10/2023 10:10:41.563,JAI4,1
6888,05/10/2023 10:11:28.287,JAI4,0
6887,05/10/2023 10:11:35.395,JAI4,1
6886,05/10/2023 10:11:43.518,JAI4,0
6885,05/10/2023 10:11:53.672,JAI4,1
6884,05/10/2023 10:12:05.872,JAI4,0
6883,05/10/2023 10:12:24.149,JAI4,1
6882,05/10/2023 10:12:28.211,JAI4,0
6880,05/10/2023 10:12:42.426,JAI4,1
6879,05/10/2023 10:13:21.027,JAI4,0
6878,05/10/2023 10:13:31.181,JAI4,1
6877,05/10/2023 10:14:22.981,JAI4,0
6867,05/10/2023 12:58:19.364,JAI4,1
6866,05/10/2023 12:59:44.688,JAI4,0
6865,05/10/2023 13:00:12.104,JAI4,1
6864,05/10/2023 13:00:49.689,JAI4,0
6863,05/10/2023 13:01:17.105,JAI4,1
6862,05/10/2023 13:01:45.552,JAI4,0
6861,05/10/2023 13:02:07.890,JAI4,1
6860,05/10/2023 13:02:12.967,JAI4,0
6859,05/10/2023 13:03:27.106,JAI4,1
6858,05/10/2023 13:03:52.491,JAI4,0
6855,06/10/2023 08:09:32.532,JAI4,1
6854,06/10/2023 08:10:07.056,JAI4,0
6851,06/10/2023 09:13:33.658,JAI4,1
6850,06/10/2023 09:16:55.768,JAI4,0
6849,06/10/2023 09:17:19.122,JAI4,1
6848,06/10/2023 09:17:40.461,JAI4,0
6847,06/10/2023 09:17:45.538,JAI4,1
6846,06/10/2023 09:17:52.646,JAI4,0
6845,06/10/2023 09:18:13.969,JAI4,1
6844,06/10/2023 09:18:54.601,JAI4,0
6843,06/10/2023 09:18:58.662,JAI4,1
6842,06/10/2023 09:19:02.724,JAI4,0
6841,06/10/2023 09:19:05.770,JAI4,1
6840,06/10/2023 09:19:14.908,JAI4,0
6839,06/10/2023 10:06:09.221,JAI4,1
6837,06/10/2023 10:06:53.898,JAI4,0
6833,06/10/2023 11:22:20.585,JAI4,1
6831,06/10/2023 11:23:39.801,JAI4,0
6830,06/10/2023 11:24:01.125,JAI4,1
6828,06/10/2023 11:24:26.525,JAI4,0
6827,06/10/2023 11:24:43.787,JAI4,1
6825,06/10/2023 11:25:10.187,JAI4,0
6823,06/10/2023 11:44:51.371,JAI4,1
6821,06/10/2023 11:45:45.203,JAI4,0
6819,06/10/2023 11:45:50.280,JAI4,1
6818,06/10/2023 11:45:54.341,JAI4,0
6817,06/10/2023 12:08:45.451,JAI4,1
6815,06/10/2023 12:09:52.482,JAI4,0
6814,06/10/2023 12:10:07.713,JAI4,1
6813,06/10/2023 12:11:07.637,JAI4,0
6811,06/10/2023 12:11:13.729,JAI4,1
6810,06/10/2023 12:11:25.914,JAI4,0
6809,06/10/2023 12:11:29.976,JAI4,1
6807,06/10/2023 12:12:20.761,JAI4,0
6806,06/10/2023 12:12:25.838,JAI4,1
6805,06/10/2023 12:12:46.146,JAI4,0
6804,06/10/2023 12:12:55.300,JAI4,1
6802,06/10/2023 12:13:13.577,JAI4,0
6801,06/10/2023 12:13:38.962,JAI4,1
6799,06/10/2023 12:13:57.239,JAI4,0
6798,06/10/2023 12:14:01.316,JAI4,1
6797,06/10/2023 12:14:08.424,JAI4,0
6796,06/10/2023 12:14:25.686,JAI4,1
6795,06/10/2023 12:14:36.855,JAI4,0
6794,06/10/2023 12:14:57.163,JAI4,1
6793,06/10/2023 12:15:04.286,JAI4,0
6792,06/10/2023 12:15:21.548,JAI4,1
6791,06/10/2023 12:15:30.686,JAI4,0
6788,06/10/2023 12:15:50.994,JAI4,1
6787,06/10/2023 12:15:55.056,JAI4,0
6785,06/10/2023 12:17:24.442,JAI4,1
6784,06/10/2023 12:17:32.565,JAI4,0
6783,06/10/2023 12:17:38.657,JAI4,1
6782,06/10/2023 12:17:45.765,JAI4,0
6781,06/10/2023 12:18:34.519,JAI4,1
6780,06/10/2023 12:19:07.012,JAI4,0
6779,06/10/2023 12:57:10.148,JAI4,1
6778,06/10/2023 12:57:54.825,JAI4,0
6777,06/10/2023 12:58:06.010,JAI4,1
6776,06/10/2023 12:58:31.395,JAI4,0
6774,06/10/2023 12:58:48.657,JAI4,1
6772,06/10/2023 12:59:31.319,JAI4,0
6771,06/10/2023 13:11:13.112,JAI4,1
6770,06/10/2023 13:11:58.821,JAI4,0
6767,06/10/2023 13:14:14.915,JAI4,1
6766,06/10/2023 13:14:48.438,JAI4,0
6757,07/10/2023 09:37:41.761,JAI4,1
6756,07/10/2023 09:41:33.333,JAI4,0
6755,07/10/2023 09:56:13.882,JAI4,1
6754,07/10/2023 09:57:17.868,JAI4,0
6753,07/10/2023 09:57:57.468,JAI4,1
6752,07/10/2023 09:58:23.884,JAI4,0
