,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan,Timespan_sec,Category
46,2023-10-10 09:57:08.175,1,2023-10-10 09:57:36.606,0,0 days 00:00:28.431000,28.431,0-1 min
47,2023-10-10 09:59:08.022,1,2023-10-10 09:59:20.207,0,0 days 00:00:12.185000,12.185,0-1 min
48,2023-10-10 09:59:26.300,1,2023-10-10 10:00:00.823,0,0 days 00:00:34.523000,34.523,0-1 min
49,2023-10-10 10:00:19.116,1,2023-10-10 10:00:29.270,0,0 days 00:00:10.154000,10.154,0-1 min
50,2023-10-10 11:35:23.925,1,2023-10-10 11:36:08.618,0,0 days 00:00:44.693000,44.693,0-1 min
51,2023-10-10 12:03:59.331,1,2023-10-10 12:04:32.839,0,0 days 00:00:33.508000,33.508,0-1 min
52,2023-10-10 12:04:36.901,1,2023-10-10 12:05:03.301,0,0 days 00:00:26.400000,26.4,0-1 min
53,2023-10-10 12:06:06.271,1,2023-10-10 12:06:17.440,0,0 days 00:00:11.169000,11.169,0-1 min
54,2023-10-10 12:07:00.102,1,2023-10-10 12:07:58.995,0,0 days 00:00:58.893000,58.893,0-1 min
55,2023-10-10 12:26:37.209,1,2023-10-10 12:27:25.964,0,0 days 00:00:48.755000,48.755,0-1 min
56,2023-10-10 12:28:14.718,1,2023-10-10 12:28:39.088,0,0 days 00:00:24.370000,24.37,0-1 min
57,2023-10-10 12:29:11.596,1,2023-10-10 12:29:19.719,0,0 days 00:00:08.123000,8.123,0-1 min
58,2023-10-10 12:29:37.996,1,2023-10-10 12:30:27.766,0,0 days 00:00:49.770000,49.77,0-1 min
59,2023-10-10 12:30:50.105,1,2023-10-10 12:31:41.905,0,0 days 00:00:51.800000,51.8,0-1 min
60,2023-10-10 12:32:38.783,1,2023-10-10 12:33:05.183,0,0 days 00:00:26.400000,26.4,0-1 min
61,2023-10-10 12:33:17.368,1,2023-10-10 12:33:25.507,0,0 days 00:00:08.139000,8.139,0-1 min
62,2023-10-10 12:33:30.584,1,2023-10-10 12:33:53.938,0,0 days 00:00:23.354000,23.354,0-1 min
63,2023-10-10 12:45:48.947,1,2023-10-10 12:46:32.609,0,0 days 00:00:43.662000,43.662,0-1 min
64,2023-10-10 12:52:42.306,1,2023-10-10 12:53:12.783,0,0 days 00:00:30.477000,30.477,0-1 min
65,2023-10-10 13:16:03.877,1,2023-10-10 13:16:47.555,0,0 days 00:00:43.678000,43.678,0-1 min
66,2023-10-10 14:02:39.928,1,2023-10-10 14:02:56.174,0,0 days 00:00:16.246000,16.246,0-1 min
67,2023-10-11 11:55:23.206,1,2023-10-11 11:57:56.577,0,0 days 00:02:33.371000,153.371,2-3 min
68,2023-10-11 12:00:52.271,1,2023-10-11 12:02:15.565,0,0 days 00:01:23.294000,83.294,1-2 min
69,2023-10-11 12:02:51.103,1,2023-10-11 12:05:18.367,0,0 days 00:02:27.264000,147.264,2-3 min
70,2023-10-11 12:05:22.428,1,2023-10-11 12:05:30.567,0,0 days 00:00:08.139000,8.139,0-1 min
71,2023-10-11 12:05:40.721,1,2023-10-11 12:06:03.060,0,0 days 00:00:22.339000,22.339,0-1 min
72,2023-10-11 12:06:17.275,1,2023-10-11 12:06:40.645,0,0 days 00:00:23.370000,23.37,0-1 min
73,2023-10-11 12:06:43.691,1,2023-10-11 12:07:17.199,0,0 days 00:00:33.508000,33.508,0-1 min
74,2023-10-11 12:07:20.245,1,2023-10-11 12:07:35.476,0,0 days 00:00:15.231000,15.231,0-1 min
75,2023-10-11 12:15:03.358,1,2023-10-11 12:15:59.221,0,0 days 00:00:55.863000,55.863,0-1 min
76,2023-10-11 12:16:02.267,1,2023-10-11 12:18:46.807,0,0 days 00:02:44.540000,164.54,2-3 min
77,2023-10-11 12:18:52.900,1,2023-10-11 12:18:57.977,0,0 days 00:00:05.077000,5.077,0-1 min
78,2023-10-11 12:19:18.284,1,2023-10-11 12:19:22.346,0,0 days 00:00:04.062000,4.062,0-1 min
79,2023-10-13 09:26:55.711,1,2023-10-13 09:27:35.327,0,0 days 00:00:39.616000,39.616,0-1 min
80,2023-10-13 11:03:58.335,1,2023-10-13 11:05:33.814,0,0 days 00:01:35.479000,95.479,1-2 min
81,2023-10-13 11:09:57.878,1,2023-10-13 11:10:07.017,0,0 days 00:00:09.139000,9.139,0-1 min
82,2023-10-13 11:27:19.922,1,2023-10-13 11:29:06.554,0,0 days 00:01:46.632000,106.632,1-2 min
83,2023-10-13 11:33:44.849,1,2023-10-13 11:34:55.943,0,0 days 00:01:11.094000,71.094,1-2 min
84,2023-10-13 11:37:19.144,1,2023-10-13 11:37:56.714,0,0 days 00:00:37.570000,37.57,0-1 min
85,2023-10-13 11:39:51.484,1,2023-10-13 11:41:32.040,0,0 days 00:01:40.556000,100.556,1-2 min
86,2023-10-13 11:41:35.086,1,2023-10-13 11:41:57.424,0,0 days 00:00:22.338000,22.338,0-1 min
87,2023-10-13 11:42:58.364,1,2023-10-13 11:43:38.979,0,0 days 00:00:40.615000,40.615,0-1 min
88,2023-10-13 11:45:37.812,1,2023-10-13 11:46:03.212,0,0 days 00:00:25.400000,25.4,0-1 min
89,2023-10-13 11:49:01.953,1,2023-10-13 11:49:31.415,0,0 days 00:00:29.462000,29.462,0-1 min
90,2023-10-13 11:50:50.631,1,2023-10-13 11:51:00.785,0,0 days 00:00:10.154000,10.154,0-1 min
91,2023-10-13 12:09:41.013,1,2023-10-13 12:10:11.491,0,0 days 00:00:30.478000,30.478,0-1 min
92,2023-10-13 12:10:58.199,1,2023-10-13 12:11:16.492,0,0 days 00:00:18.293000,18.293,0-1 min
93,2023-10-13 12:12:28.600,1,2023-10-13 12:13:04.139,0,0 days 00:00:35.539000,35.539,0-1 min
94,2023-10-13 12:13:09.216,1,2023-10-13 12:13:15.308,0,0 days 00:00:06.092000,6.092,0-1 min
95,2023-10-16 07:36:52.580,1,2023-10-16 07:37:35.226,0,0 days 00:00:42.646000,42.646,0-1 min
96,2023-10-16 07:37:55.550,1,2023-10-16 07:38:08.750,0,0 days 00:00:13.200000,13.2,0-1 min
97,2023-10-16 07:42:56.169,1,2023-10-16 07:43:11.400,0,0 days 00:00:15.231000,15.231,0-1 min
98,2023-10-16 07:48:26.250,1,2023-10-16 07:49:17.035,0,0 days 00:00:50.785000,50.785,0-1 min
99,2023-10-16 07:49:40.389,1,2023-10-16 07:49:50.543,0,0 days 00:00:10.154000,10.154,0-1 min
100,2023-10-16 07:51:45.314,1,2023-10-16 07:52:07.668,0,0 days 00:00:22.354000,22.354,0-1 min
101,2023-10-16 07:55:31.809,1,2023-10-16 07:56:12.425,0,0 days 00:00:40.616000,40.616,0-1 min
102,2023-10-16 07:56:43.918,1,2023-10-16 07:57:13.364,0,0 days 00:00:29.446000,29.446,0-1 min
103,2023-10-16 08:49:41.835,1,2023-10-16 08:50:38.712,0,0 days 00:00:56.877000,56.877,0-1 min
104,2023-10-16 08:51:30.497,1,2023-10-16 08:52:04.021,0,0 days 00:00:33.524000,33.524,0-1 min
105,2023-10-16 09:18:15.210,1,2023-10-16 09:18:56.841,0,0 days 00:00:41.631000,41.631,0-1 min
106,2023-10-16 09:21:23.089,1,2023-10-16 09:21:28.182,0,0 days 00:00:05.093000,5.093,0-1 min
107,2023-10-16 09:22:03.721,1,2023-10-16 09:22:12.859,0,0 days 00:00:09.138000,9.138,0-1 min
108,2023-10-16 09:22:34.198,1,2023-10-16 09:22:48.414,0,0 days 00:00:14.216000,14.216,0-1 min
109,2023-10-16 09:23:14.814,1,2023-10-16 09:23:20.906,0,0 days 00:00:06.092000,6.092,0-1 min
110,2023-10-16 09:23:26.998,1,2023-10-16 09:24:05.599,0,0 days 00:00:38.601000,38.601,0-1 min
111,2023-10-16 09:24:12.707,1,2023-10-16 09:25:16.692,0,0 days 00:01:03.985000,63.985,1-2 min
112,2023-10-16 09:25:28.877,1,2023-10-16 09:25:40.046,0,0 days 00:00:11.169000,11.169,0-1 min
113,2023-10-16 09:26:08.493,1,2023-10-16 09:26:59.278,0,0 days 00:00:50.785000,50.785,0-1 min
114,2023-10-16 09:27:15.525,1,2023-10-16 09:27:48.017,0,0 days 00:00:32.492000,32.492,0-1 min
115,2023-10-16 09:30:04.111,1,2023-10-16 09:30:50.835,0,0 days 00:00:46.724000,46.724,0-1 min
116,2023-10-16 09:31:11.143,1,2023-10-16 09:31:51.774,0,0 days 00:00:40.631000,40.631,0-1 min
117,2023-10-16 09:32:33.421,1,2023-10-16 09:32:59.821,0,0 days 00:00:26.400000,26.4,0-1 min
118,2023-10-16 09:40:53.104,1,2023-10-16 09:41:34.751,0,0 days 00:00:41.647000,41.647,0-1 min
119,2023-10-16 09:47:38.340,1,2023-10-16 09:48:24.048,0,0 days 00:00:45.708000,45.708,0-1 min
120,2023-10-16 09:49:01.633,1,2023-10-16 09:49:08.741,0,0 days 00:00:07.108000,7.108,0-1 min
121,2023-10-16 09:55:54.992,1,2023-10-16 09:56:53.901,0,0 days 00:00:58.909000,58.909,0-1 min
122,2023-10-16 09:58:37.487,1,2023-10-16 09:59:23.195,0,0 days 00:00:45.708000,45.708,0-1 min
123,2023-10-16 09:59:27.257,1,2023-10-16 10:00:52.565,0,0 days 00:01:25.308000,85.308,1-2 min
124,2023-10-16 10:02:00.612,1,2023-10-16 10:02:42.259,0,0 days 00:00:41.647000,41.647,0-1 min
125,2023-10-16 10:03:14.752,1,2023-10-16 10:03:19.844,0,0 days 00:00:05.092000,5.092,0-1 min
126,2023-10-16 10:03:40.152,1,2023-10-16 10:04:02.491,0,0 days 00:00:22.339000,22.339,0-1 min
127,2023-10-16 10:05:20.692,1,2023-10-16 10:05:31.877,0,0 days 00:00:11.185000,11.185,0-1 min
128,2023-10-16 10:05:44.061,1,2023-10-16 10:06:08.431,0,0 days 00:00:24.370000,24.37,0-1 min
129,2023-10-16 10:06:12.492,1,2023-10-16 10:08:16.402,0,0 days 00:02:03.910000,123.91,2-3 min
130,2023-10-16 10:08:21.479,1,2023-10-16 10:08:26.556,0,0 days 00:00:05.077000,5.077,0-1 min
131,2023-10-16 10:09:15.310,1,2023-10-16 10:09:25.464,0,0 days 00:00:10.154000,10.154,0-1 min
132,2023-10-16 10:11:50.681,1,2023-10-16 10:11:56.773,0,0 days 00:00:06.092000,6.092,0-1 min
133,2023-10-16 10:12:04.896,1,2023-10-16 10:12:24.205,0,0 days 00:00:19.309000,19.309,0-1 min
134,2023-10-16 10:12:33.343,1,2023-10-16 10:12:37.405,0,0 days 00:00:04.062000,4.062,0-1 min
135,2023-10-16 10:13:23.113,1,2023-10-16 10:13:26.159,0,0 days 00:00:03.046000,3.046,0-1 min
136,2023-10-16 10:13:45.452,1,2023-10-16 10:13:50.529,0,0 days 00:00:05.077000,5.077,0-1 min
137,2023-10-16 10:14:42.329,1,2023-10-16 10:15:23.960,0,0 days 00:00:41.631000,41.631,0-1 min
138,2023-10-16 10:15:34.130,1,2023-10-16 10:15:39.207,0,0 days 00:00:05.077000,5.077,0-1 min
139,2023-10-16 10:27:59.601,1,2023-10-16 10:29:17.802,0,0 days 00:01:18.201000,78.201,1-2 min
140,2023-10-16 10:29:42.171,1,2023-10-16 10:30:14.679,0,0 days 00:00:32.508000,32.508,0-1 min
141,2023-10-16 10:30:29.910,1,2023-10-16 10:30:46.157,0,0 days 00:00:16.247000,16.247,0-1 min
142,2023-10-16 10:33:12.420,1,2023-10-16 10:33:28.666,0,0 days 00:00:16.246000,16.246,0-1 min
143,2023-10-16 10:33:31.713,1,2023-10-16 10:34:04.205,0,0 days 00:00:32.492000,32.492,0-1 min
144,2023-10-16 10:34:51.944,1,2023-10-16 10:36:39.607,0,0 days 00:01:47.663000,107.663,1-2 min
145,2023-10-16 10:38:27.255,1,2023-10-16 10:40:58.595,0,0 days 00:02:31.340000,151.34,2-3 min
146,2023-10-16 10:45:25.706,1,2023-10-16 10:46:22.584,0,0 days 00:00:56.878000,56.878,0-1 min
147,2023-10-16 10:47:09.292,1,2023-10-16 10:47:37.739,0,0 days 00:00:28.447000,28.447,0-1 min
148,2023-10-16 10:51:53.680,1,2023-10-16 10:52:12.973,0,0 days 00:00:19.293000,19.293,0-1 min
149,2023-10-16 10:52:42.419,1,2023-10-16 10:53:18.989,0,0 days 00:00:36.570000,36.57,0-1 min
150,2023-10-16 10:53:53.512,1,2023-10-16 10:56:58.361,0,0 days 00:03:04.849000,184.849,3-4 min
151,2023-10-16 10:59:48.994,1,2023-10-16 11:01:12.272,0,0 days 00:01:23.278000,83.278,1-2 min
152,2023-10-16 11:01:48.842,1,2023-10-16 11:02:48.765,0,0 days 00:00:59.923000,59.923,0-1 min
153,2023-10-16 11:03:44.612,1,2023-10-16 11:04:15.090,0,0 days 00:00:30.478000,30.478,0-1 min
154,2023-10-16 11:05:38.367,1,2023-10-16 11:05:42.429,0,0 days 00:00:04.062000,4.062,0-1 min
155,2023-10-16 11:06:57.584,1,2023-10-16 11:08:20.877,0,0 days 00:01:23.293000,83.293,1-2 min
156,2023-10-16 11:09:12.662,1,2023-10-16 11:10:27.817,0,0 days 00:01:15.155000,75.155,1-2 min
157,2023-10-16 11:10:42.048,1,2023-10-16 11:10:46.110,0,0 days 00:00:04.062000,4.062,0-1 min
158,2023-10-16 11:12:03.295,1,2023-10-16 11:13:38.758,0,0 days 00:01:35.463000,95.463,1-2 min
159,2023-10-16 11:13:51.974,1,2023-10-16 11:17:18.145,0,0 days 00:03:26.171000,206.171,3-4 min
160,2023-10-16 11:24:06.427,1,2023-10-16 11:26:03.229,0,0 days 00:01:56.802000,116.802,1-2 min
161,2023-10-16 11:28:46.739,1,2023-10-16 11:30:04.940,0,0 days 00:01:18.201000,78.201,1-2 min
162,2023-10-16 11:30:45.571,1,2023-10-16 11:32:17.987,0,0 days 00:01:32.416000,92.416,1-2 min
163,2023-10-16 11:33:45.342,1,2023-10-16 11:38:30.731,0,0 days 00:04:45.389000,285.389,4-5 min
164,2023-10-16 11:39:56.039,1,2023-10-16 11:41:05.102,0,0 days 00:01:09.063000,69.063,1-2 min
165,2023-10-16 11:42:42.611,1,2023-10-16 11:43:34.396,0,0 days 00:00:51.785000,51.785,0-1 min
166,2023-10-16 11:44:03.858,1,2023-10-16 11:45:33.228,0,0 days 00:01:29.370000,89.37,1-2 min
167,2023-10-16 11:45:43.382,1,2023-10-16 11:47:57.445,0,0 days 00:02:14.063000,134.063,2-3 min
168,2023-10-16 11:49:15.662,1,2023-10-16 11:50:03.385,0,0 days 00:00:47.723000,47.723,0-1 min
169,2023-10-16 11:50:17.616,1,2023-10-16 11:50:53.155,0,0 days 00:00:35.539000,35.539,0-1 min
170,2023-10-16 11:51:23.633,1,2023-10-16 11:55:12.143,0,0 days 00:03:48.510000,228.51,3-4 min
171,2023-10-16 11:55:41.589,1,2023-10-16 11:56:12.067,0,0 days 00:00:30.478000,30.478,0-1 min
172,2023-10-16 11:56:33.390,1,2023-10-16 11:56:56.760,0,0 days 00:00:23.370000,23.37,0-1 min
173,2023-10-16 11:59:12.854,1,2023-10-16 12:01:18.794,0,0 days 00:02:05.940000,125.94,2-3 min
174,2023-10-16 12:03:18.626,1,2023-10-16 12:03:44.026,0,0 days 00:00:25.400000,25.4,0-1 min
175,2023-10-16 12:05:05.273,1,2023-10-16 12:06:12.305,0,0 days 00:01:07.032000,67.032,1-2 min
176,2023-10-16 12:07:03.090,1,2023-10-16 12:07:44.722,0,0 days 00:00:41.632000,41.632,0-1 min
177,2023-10-16 12:07:51.845,1,2023-10-16 12:07:57.937,0,0 days 00:00:06.092000,6.092,0-1 min
178,2023-10-16 12:09:00.907,1,2023-10-16 12:09:32.384,0,0 days 00:00:31.477000,31.477,0-1 min
179,2023-10-16 12:10:22.154,1,2023-10-16 12:10:28.247,0,0 days 00:00:06.093000,6.093,0-1 min
