,Data e hora protocolo,Equipamento,Valor
7439,29/09/2023 10:47:31.810,JAI9,1
7431,29/09/2023 10:49:17.427,JAI9,0
7423,29/09/2023 10:50:49.859,JAI9,1
7415,29/09/2023 10:52:08.060,JAI9,0
7412,29/09/2023 10:52:42.599,JAI9,1
7410,29/09/2023 10:53:15.091,JAI9,0
7392,29/09/2023 11:11:30.966,JAI9,1
7391,29/09/2023 11:12:17.674,JAI9,0
7382,29/09/2023 11:29:00.117,JAI9,1
7381,29/09/2023 11:30:06.133,JAI9,0
6959,05/10/2023 09:12:46.105,JAI9,1
6958,05/10/2023 09:13:28.752,JAI9,0
6956,05/10/2023 09:19:02.894,JAI9,1
6953,05/10/2023 09:19:54.695,JAI9,0
6944,05/10/2023 09:21:50.481,JAI9,1
6942,05/10/2023 09:22:11.805,JAI9,0
6938,05/10/2023 09:22:57.513,JAI9,1
6936,05/10/2023 09:23:34.083,JAI9,0
6935,05/10/2023 09:23:45.252,JAI9,1
6934,05/10/2023 09:23:48.298,JAI9,0
6933,05/10/2023 09:23:52.360,JAI9,1
6932,05/10/2023 09:23:55.406,JAI9,0
6928,05/10/2023 09:24:47.207,JAI9,1
6926,05/10/2023 09:24:56.345,JAI9,0
6924,05/10/2023 09:25:20.715,JAI9,1
6923,05/10/2023 09:25:25.792,JAI9,0
6922,05/10/2023 09:25:29.853,JAI9,1
6921,05/10/2023 09:25:34.930,JAI9,0
6919,05/10/2023 09:25:55.254,JAI9,1
6915,05/10/2023 09:27:00.254,JAI9,0
6911,05/10/2023 09:30:32.519,JAI9,1
6910,05/10/2023 09:31:56.812,JAI9,0
6909,05/10/2023 10:01:25.034,JAI9,1
6908,05/10/2023 10:01:58.542,JAI9,0
6907,05/10/2023 10:02:03.619,JAI9,1
6905,05/10/2023 10:03:08.620,JAI9,0
6881,05/10/2023 10:12:38.396,JAI9,1
6876,05/10/2023 10:14:48.398,JAI9,0
6838,06/10/2023 10:06:36.636,JAI9,1
6836,06/10/2023 10:07:07.098,JAI9,0
6832,06/10/2023 11:23:31.678,JAI9,1
6829,06/10/2023 11:24:07.217,JAI9,0
6826,06/10/2023 11:24:52.925,JAI9,1
6824,06/10/2023 11:25:29.495,JAI9,0
6822,06/10/2023 11:45:06.602,JAI9,1
6820,06/10/2023 11:45:46.218,JAI9,0
6816,06/10/2023 12:09:34.205,JAI9,1
6812,06/10/2023 12:11:10.683,JAI9,0
6808,06/10/2023 12:12:08.576,JAI9,1
6803,06/10/2023 12:12:57.331,JAI9,0
6800,06/10/2023 12:13:52.162,JAI9,1
6790,06/10/2023 12:15:31.702,JAI9,0
6789,06/10/2023 12:15:43.886,JAI9,1
6786,06/10/2023 12:16:03.179,JAI9,0
6775,06/10/2023 12:58:39.518,JAI9,1
6773,06/10/2023 12:59:06.934,JAI9,0
6769,06/10/2023 13:12:01.867,JAI9,1
6768,06/10/2023 13:12:20.144,JAI9,0
6443,08/10/2023 11:13:50.384,JAI9,1
6440,08/10/2023 11:15:43.108,JAI9,0
6405,08/10/2023 12:11:48.919,JAI9,1
6403,08/10/2023 12:12:46.812,JAI9,0
6402,08/10/2023 12:13:07.119,JAI9,1
6400,08/10/2023 12:13:47.751,JAI9,0
6397,08/10/2023 12:14:33.459,JAI9,1
6395,08/10/2023 12:14:50.721,JAI9,0
6393,08/10/2023 12:15:01.890,JAI9,1
6387,08/10/2023 12:16:30.245,JAI9,0
6279,08/10/2023 12:45:22.912,JAI9,1
6278,08/10/2023 12:46:45.175,JAI9,0
6277,08/10/2023 12:47:13.606,JAI9,1
6276,08/10/2023 12:47:20.714,JAI9,0
6274,08/10/2023 12:47:27.837,JAI9,1
6273,08/10/2023 12:48:26.730,JAI9,0
6271,08/10/2023 12:49:27.669,JAI9,1
6265,08/10/2023 12:50:51.978,JAI9,0
6250,08/10/2023 12:52:46.733,JAI9,1
6246,08/10/2023 12:53:45.641,JAI9,0
6227,08/10/2023 12:57:43.306,JAI9,1
6224,08/10/2023 12:58:01.583,JAI9,0
6211,08/10/2023 13:31:57.931,JAI9,1
6210,08/10/2023 13:32:44.655,JAI9,0
6152,10/10/2023 09:03:57.074,JAI9,1
6151,10/10/2023 09:04:31.597,JAI9,0
6149,10/10/2023 09:05:15.275,JAI9,1
6148,10/10/2023 09:05:56.906,JAI9,0
6147,10/10/2023 09:07:15.123,JAI9,1
6146,10/10/2023 09:07:51.677,JAI9,0
6143,10/10/2023 09:11:20.879,JAI9,1
6142,10/10/2023 09:12:25.880,JAI9,0
6141,10/10/2023 09:12:41.111,JAI9,1
6140,10/10/2023 09:12:54.326,JAI9,0
6135,10/10/2023 09:57:08.175,JAI9,1
6133,10/10/2023 09:57:36.606,JAI9,0
6127,10/10/2023 09:59:08.022,JAI9,1
6125,10/10/2023 09:59:20.207,JAI9,0
6124,10/10/2023 09:59:26.300,JAI9,1
6121,10/10/2023 10:00:00.823,JAI9,0
6119,10/10/2023 10:00:19.116,JAI9,1
6118,10/10/2023 10:00:29.270,JAI9,0
6105,10/10/2023 11:35:23.925,JAI9,1
6104,10/10/2023 11:36:08.618,JAI9,0
6083,10/10/2023 12:03:59.331,JAI9,1
6082,10/10/2023 12:04:32.839,JAI9,0
6081,10/10/2023 12:04:36.901,JAI9,1
6080,10/10/2023 12:05:03.301,JAI9,0
6078,10/10/2023 12:06:06.271,JAI9,1
6077,10/10/2023 12:06:17.440,JAI9,0
6075,10/10/2023 12:07:00.102,JAI9,1
6074,10/10/2023 12:07:58.995,JAI9,0
6065,10/10/2023 12:26:37.209,JAI9,1
6064,10/10/2023 12:27:25.964,JAI9,0
6063,10/10/2023 12:28:14.718,JAI9,1
6062,10/10/2023 12:28:39.088,JAI9,0
6061,10/10/2023 12:29:11.596,JAI9,1
6060,10/10/2023 12:29:19.719,JAI9,0
6059,10/10/2023 12:29:37.996,JAI9,1
6058,10/10/2023 12:30:27.766,JAI9,0
6057,10/10/2023 12:30:50.105,JAI9,1
6056,10/10/2023 12:31:41.905,JAI9,0
6055,10/10/2023 12:32:38.783,JAI9,1
6054,10/10/2023 12:33:05.183,JAI9,0
6053,10/10/2023 12:33:17.368,JAI9,1
6052,10/10/2023 12:33:25.507,JAI9,0
6051,10/10/2023 12:33:30.584,JAI9,1
6050,10/10/2023 12:33:53.938,JAI9,0
6047,10/10/2023 12:45:48.947,JAI9,1
6046,10/10/2023 12:46:32.609,JAI9,0
6045,10/10/2023 12:52:42.306,JAI9,1
6044,10/10/2023 12:53:12.783,JAI9,0
6036,10/10/2023 13:16:03.877,JAI9,1
6032,10/10/2023 13:16:47.555,JAI9,0
5990,10/10/2023 14:02:39.928,JAI9,1
5987,10/10/2023 14:02:56.174,JAI9,0
5265,11/10/2023 11:55:23.206,JAI9,1
5256,11/10/2023 11:57:56.577,JAI9,0
5248,11/10/2023 12:00:52.271,JAI9,1
5245,11/10/2023 12:02:15.565,JAI9,0
5243,11/10/2023 12:02:51.103,JAI9,1
5234,11/10/2023 12:05:18.367,JAI9,0
5233,11/10/2023 12:05:22.428,JAI9,1
5232,11/10/2023 12:05:30.567,JAI9,0
5230,11/10/2023 12:05:40.721,JAI9,1
5228,11/10/2023 12:06:03.060,JAI9,0
5227,11/10/2023 12:06:17.275,JAI9,1
5225,11/10/2023 12:06:40.645,JAI9,0
5224,11/10/2023 12:06:43.691,JAI9,1
5222,11/10/2023 12:07:17.199,JAI9,0
5221,11/10/2023 12:07:20.245,JAI9,1
5220,11/10/2023 12:07:35.476,JAI9,0
5202,11/10/2023 12:15:03.358,JAI9,1
5199,11/10/2023 12:15:59.221,JAI9,0
5197,11/10/2023 12:16:02.267,JAI9,1
5183,11/10/2023 12:18:46.807,JAI9,0
5182,11/10/2023 12:18:52.900,JAI9,1
5180,11/10/2023 12:18:57.977,JAI9,0
5179,11/10/2023 12:19:18.284,JAI9,1
5178,11/10/2023 12:19:22.346,JAI9,0
4043,13/10/2023 09:26:55.711,JAI9,1
4040,13/10/2023 09:27:35.327,JAI9,0
3739,13/10/2023 11:03:58.335,JAI9,1
3738,13/10/2023 11:05:33.814,JAI9,0
3729,13/10/2023 11:09:57.878,JAI9,1
3728,13/10/2023 11:10:07.017,JAI9,0
3663,13/10/2023 11:27:19.922,JAI9,1
3658,13/10/2023 11:29:06.554,JAI9,0
3647,13/10/2023 11:33:44.849,JAI9,1
3646,13/10/2023 11:34:55.943,JAI9,0
3643,13/10/2023 11:37:19.144,JAI9,1
3641,13/10/2023 11:37:56.714,JAI9,0
3635,13/10/2023 11:39:51.484,JAI9,1
3629,13/10/2023 11:41:32.040,JAI9,0
3628,13/10/2023 11:41:35.086,JAI9,1
3625,13/10/2023 11:41:57.424,JAI9,0
3620,13/10/2023 11:42:58.364,JAI9,1
3618,13/10/2023 11:43:38.979,JAI9,0
3611,13/10/2023 11:45:37.812,JAI9,1
3610,13/10/2023 11:46:03.212,JAI9,0
3605,13/10/2023 11:49:01.953,JAI9,1
3604,13/10/2023 11:49:31.415,JAI9,0
3600,13/10/2023 11:50:50.631,JAI9,1
3599,13/10/2023 11:51:00.785,JAI9,0
3589,13/10/2023 12:09:41.013,JAI9,1
3587,13/10/2023 12:10:11.491,JAI9,0
3585,13/10/2023 12:10:58.199,JAI9,1
3583,13/10/2023 12:11:16.492,JAI9,0
3576,13/10/2023 12:12:28.600,JAI9,1
3572,13/10/2023 12:13:04.139,JAI9,0
3571,13/10/2023 12:13:09.216,JAI9,1
3570,13/10/2023 12:13:15.308,JAI9,0
2552,16/10/2023 07:36:52.580,JAI9,1
2551,16/10/2023 07:37:35.226,JAI9,0
2550,16/10/2023 07:37:55.550,JAI9,1
2549,16/10/2023 07:38:08.750,JAI9,0
2546,16/10/2023 07:42:56.169,JAI9,1
2545,16/10/2023 07:43:11.400,JAI9,0
2543,16/10/2023 07:48:26.250,JAI9,1
2542,16/10/2023 07:49:17.035,JAI9,0
2541,16/10/2023 07:49:40.389,JAI9,1
2540,16/10/2023 07:49:50.543,JAI9,0
2535,16/10/2023 07:51:45.314,JAI9,1
2532,16/10/2023 07:52:07.668,JAI9,0
2525,16/10/2023 07:55:31.809,JAI9,1
2524,16/10/2023 07:56:12.425,JAI9,0
2523,16/10/2023 07:56:43.918,JAI9,1
2522,16/10/2023 07:57:13.364,JAI9,0
2512,16/10/2023 08:49:41.835,JAI9,1
2511,16/10/2023 08:50:38.712,JAI9,0
2510,16/10/2023 08:51:30.497,JAI9,1
2509,16/10/2023 08:52:04.021,JAI9,0
2506,16/10/2023 09:18:15.210,JAI9,1
2505,16/10/2023 09:18:56.841,JAI9,0
2490,16/10/2023 09:21:23.089,JAI9,1
2489,16/10/2023 09:21:28.182,JAI9,0
2481,16/10/2023 09:22:03.721,JAI9,1
2480,16/10/2023 09:22:12.859,JAI9,0
2479,16/10/2023 09:22:34.198,JAI9,1
2476,16/10/2023 09:22:48.414,JAI9,0
2471,16/10/2023 09:23:14.814,JAI9,1
2470,16/10/2023 09:23:20.906,JAI9,0
2468,16/10/2023 09:23:26.998,JAI9,1
2467,16/10/2023 09:24:05.599,JAI9,0
2466,16/10/2023 09:24:12.707,JAI9,1
2465,16/10/2023 09:25:16.692,JAI9,0
2464,16/10/2023 09:25:28.877,JAI9,1
2463,16/10/2023 09:25:40.046,JAI9,0
2462,16/10/2023 09:26:08.493,JAI9,1
2461,16/10/2023 09:26:59.278,JAI9,0
2460,16/10/2023 09:27:15.525,JAI9,1
2459,16/10/2023 09:27:48.017,JAI9,0
2458,16/10/2023 09:30:04.111,JAI9,1
2457,16/10/2023 09:30:50.835,JAI9,0
2456,16/10/2023 09:31:11.143,JAI9,1
2455,16/10/2023 09:31:51.774,JAI9,0
2454,16/10/2023 09:32:33.421,JAI9,1
2453,16/10/2023 09:32:59.821,JAI9,0
2452,16/10/2023 09:40:53.104,JAI9,1
2451,16/10/2023 09:41:34.751,JAI9,0
2420,16/10/2023 09:47:38.340,JAI9,1
2419,16/10/2023 09:48:24.048,JAI9,0
2418,16/10/2023 09:49:01.633,JAI9,1
2417,16/10/2023 09:49:08.741,JAI9,0
2400,16/10/2023 09:55:54.992,JAI9,1
2399,16/10/2023 09:56:53.901,JAI9,0
2392,16/10/2023 09:58:37.487,JAI9,1
2387,16/10/2023 09:59:23.195,JAI9,0
2385,16/10/2023 09:59:27.257,JAI9,1
2378,16/10/2023 10:00:52.565,JAI9,0
2375,16/10/2023 10:02:00.612,JAI9,1
2373,16/10/2023 10:02:42.259,JAI9,0
2370,16/10/2023 10:03:14.752,JAI9,1
2368,16/10/2023 10:03:19.844,JAI9,0
