,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan
0,2023-09-29 10:47:31.810,1,2023-09-29 10:49:17.427,0,0 days 00:01:45.617000
1,2023-09-29 10:50:49.859,1,2023-09-29 10:52:08.060,0,0 days 00:01:18.201000
2,2023-09-29 10:52:42.599,1,2023-09-29 10:53:15.091,0,0 days 00:00:32.492000
3,2023-09-29 11:11:30.966,1,2023-09-29 11:12:17.674,0,0 days 00:00:46.708000
4,2023-09-29 11:29:00.117,1,2023-09-29 11:30:06.133,0,0 days 00:01:06.016000
5,2023-10-05 09:12:46.105,1,2023-10-05 09:13:28.752,0,0 days 00:00:42.647000
6,2023-10-05 09:19:02.894,1,2023-10-05 09:19:54.695,0,0 days 00:00:51.801000
7,2023-10-05 09:21:50.481,1,2023-10-05 09:22:11.805,0,0 days 00:00:21.324000
8,2023-10-05 09:22:57.513,1,2023-10-05 09:23:34.083,0,0 days 00:00:36.570000
9,2023-10-05 09:23:45.252,1,2023-10-05 09:23:48.298,0,0 days 00:00:03.046000
10,2023-10-05 09:23:52.360,1,2023-10-05 09:23:55.406,0,0 days 00:00:03.046000
11,2023-10-05 09:24:47.207,1,2023-10-05 09:24:56.345,0,0 days 00:00:09.138000
12,2023-10-05 09:25:20.715,1,2023-10-05 09:25:25.792,0,0 days 00:00:05.077000
13,2023-10-05 09:25:29.853,1,2023-10-05 09:25:34.930,0,0 days 00:00:05.077000
14,2023-10-05 09:25:55.254,1,2023-10-05 09:27:00.254,0,0 days 00:01:05
15,2023-10-05 09:30:32.519,1,2023-10-05 09:31:56.812,0,0 days 00:01:24.293000
16,2023-10-05 10:01:25.034,1,2023-10-05 10:01:58.542,0,0 days 00:00:33.508000
17,2023-10-05 10:02:03.619,1,2023-10-05 10:03:08.620,0,0 days 00:01:05.001000
18,2023-10-05 10:12:38.396,1,2023-10-05 10:14:48.398,0,0 days 00:02:10.002000
19,2023-10-06 10:06:36.636,1,2023-10-06 10:07:07.098,0,0 days 00:00:30.462000
20,2023-10-06 11:23:31.678,1,2023-10-06 11:24:07.217,0,0 days 00:00:35.539000
21,2023-10-06 11:24:52.925,1,2023-10-06 11:25:29.495,0,0 days 00:00:36.570000
22,2023-10-06 11:45:06.602,1,2023-10-06 11:45:46.218,0,0 days 00:00:39.616000
23,2023-10-06 12:09:34.205,1,2023-10-06 12:11:10.683,0,0 days 00:01:36.478000
24,2023-10-06 12:12:08.576,1,2023-10-06 12:12:57.331,0,0 days 00:00:48.755000
25,2023-10-06 12:13:52.162,1,2023-10-06 12:15:31.702,0,0 days 00:01:39.540000
26,2023-10-06 12:15:43.886,1,2023-10-06 12:16:03.179,0,0 days 00:00:19.293000
27,2023-10-06 12:58:39.518,1,2023-10-06 12:59:06.934,0,0 days 00:00:27.416000
28,2023-10-06 13:12:01.867,1,2023-10-06 13:12:20.144,0,0 days 00:00:18.277000
