,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan,Timespan_sec,Category
0,2023-09-29 09:14:15.701,1,2023-09-29 09:16:28.748,0,0 days 00:02:13.047000,133.047,2-3 min
1,2023-09-29 09:17:27.657,1,2023-09-29 09:17:40.857,0,0 days 00:00:13.200000,13.2,0-1 min
2,2023-09-29 09:17:49.995,1,2023-09-29 09:17:57.103,0,0 days 00:00:07.108000,7.108,0-1 min
3,2023-09-29 09:18:10.319,1,2023-09-29 09:19:13.289,0,0 days 00:01:02.970000,62.97,1-2 min
4,2023-09-29 09:20:57.890,1,2023-09-29 09:21:56.799,0,0 days 00:00:58.909000,58.909,0-1 min
5,2023-09-29 09:23:30.230,1,2023-09-29 09:23:44.461,0,0 days 00:00:14.231000,14.231,0-1 min
6,2023-09-29 09:24:14.923,1,2023-09-29 09:25:27.032,0,0 days 00:01:12.109000,72.109,1-2 min
7,2023-09-29 10:47:09.471,1,2023-09-29 10:47:54.149,0,0 days 00:00:44.678000,44.678,0-1 min
8,2023-09-29 10:48:03.287,1,2023-09-29 10:48:08.364,0,0 days 00:00:05.077000,5.077,0-1 min
9,2023-09-29 10:48:45.949,1,2023-09-29 10:48:53.057,0,0 days 00:00:07.108000,7.108,0-1 min
10,2023-09-29 10:49:03.211,1,2023-09-29 10:49:06.257,0,0 days 00:00:03.046000,3.046,0-1 min
11,2023-09-29 10:49:25.565,1,2023-09-29 10:49:34.704,0,0 days 00:00:09.139000,9.139,0-1 min
12,2023-09-29 10:49:59.073,1,2023-09-29 10:50:02.120,0,0 days 00:00:03.047000,3.047,0-1 min
13,2023-09-29 10:50:14.304,1,2023-09-29 10:50:21.412,0,0 days 00:00:07.108000,7.108,0-1 min
14,2023-09-29 10:50:44.782,1,2023-09-29 10:50:58.997,0,0 days 00:00:14.215000,14.215,0-1 min
15,2023-09-29 10:51:03.059,1,2023-09-29 10:51:09.151,0,0 days 00:00:06.092000,6.092,0-1 min
16,2023-09-29 10:51:23.367,1,2023-09-29 10:51:38.613,0,0 days 00:00:15.246000,15.246,0-1 min
17,2023-09-29 10:51:42.675,1,2023-09-29 10:51:58.921,0,0 days 00:00:16.246000,16.246,0-1 min
18,2023-09-29 10:52:22.275,1,2023-09-29 10:52:41.583,0,0 days 00:00:19.308000,19.308,0-1 min
19,2023-09-29 10:53:14.076,1,2023-09-29 10:53:23.214,0,0 days 00:00:09.138000,9.138,0-1 min
20,2023-09-29 10:53:31.337,1,2023-09-29 10:53:48.615,0,0 days 00:00:17.278000,17.278,0-1 min
21,2023-09-29 10:54:22.123,1,2023-09-29 10:54:41.415,0,0 days 00:00:19.292000,19.292,0-1 min
22,2023-09-29 10:54:47.507,1,2023-09-29 10:54:55.646,0,0 days 00:00:08.139000,8.139,0-1 min
23,2023-09-29 10:54:58.692,1,2023-09-29 10:55:05.800,0,0 days 00:00:07.108000,7.108,0-1 min
24,2023-09-29 10:55:46.416,1,2023-09-29 10:55:51.493,0,0 days 00:00:05.077000,5.077,0-1 min
25,2023-09-29 10:56:09.786,1,2023-09-29 10:56:13.847,0,0 days 00:00:04.061000,4.061,0-1 min
26,2023-09-29 10:57:34.079,1,2023-09-29 10:58:38.064,0,0 days 00:01:03.985000,63.985,1-2 min
27,2023-09-29 11:08:33.225,1,2023-09-29 11:08:58.610,0,0 days 00:00:25.385000,25.385,0-1 min
28,2023-09-29 11:17:18.308,1,2023-09-29 11:18:42.602,0,0 days 00:01:24.294000,84.294,1-2 min
29,2023-09-29 11:20:47.526,1,2023-09-29 11:20:51.588,0,0 days 00:00:04.062000,4.062,0-1 min
30,2023-09-29 11:23:58.467,1,2023-09-29 11:24:29.944,0,0 days 00:00:31.477000,31.477,0-1 min
31,2023-09-29 12:38:45.521,1,2023-09-29 12:39:14.967,0,0 days 00:00:29.446000,29.446,0-1 min
32,2023-09-30 09:38:06.465,1,2023-09-30 09:38:10.527,0,0 days 00:00:04.062000,4.062,0-1 min
33,2023-09-30 09:44:21.239,1,2023-09-30 09:47:33.195,0,0 days 00:03:11.956000,191.956,3-4 min
34,2023-09-30 09:47:43.349,1,2023-09-30 09:48:07.718,0,0 days 00:00:24.369000,24.369,0-1 min
35,2023-09-30 09:48:40.227,1,2023-09-30 09:51:42.029,0,0 days 00:03:01.802000,181.802,3-4 min
36,2023-09-30 09:52:42.968,1,2023-09-30 09:52:54.137,0,0 days 00:00:11.169000,11.169,0-1 min
37,2023-09-30 09:52:59.214,1,2023-09-30 09:53:10.384,0,0 days 00:00:11.170000,11.17,0-1 min
38,2023-09-30 09:53:13.430,1,2023-09-30 09:54:06.246,0,0 days 00:00:52.816000,52.816,0-1 min
39,2023-09-30 09:54:24.523,1,2023-09-30 09:56:39.601,0,0 days 00:02:15.078000,135.078,2-3 min
40,2023-09-30 10:01:17.882,1,2023-09-30 10:01:22.959,0,0 days 00:00:05.077000,5.077,0-1 min
41,2023-09-30 10:03:24.837,1,2023-09-30 10:03:33.975,0,0 days 00:00:09.138000,9.138,0-1 min
42,2023-09-30 10:04:00.391,1,2023-09-30 10:07:36.717,0,0 days 00:03:36.326000,216.326,3-4 min
43,2023-09-30 10:08:15.317,1,2023-09-30 10:10:12.103,0,0 days 00:01:56.786000,116.786,1-2 min
44,2023-09-30 10:11:28.289,1,2023-09-30 10:12:12.966,0,0 days 00:00:44.677000,44.677,0-1 min
45,2023-09-30 10:14:27.029,1,2023-09-30 10:14:42.260,0,0 days 00:00:15.231000,15.231,0-1 min
46,2023-09-30 10:16:16.723,1,2023-09-30 10:16:40.077,0,0 days 00:00:23.354000,23.354,0-1 min
47,2023-09-30 10:18:04.386,1,2023-09-30 10:18:07.432,0,0 days 00:00:03.046000,3.046,0-1 min
48,2023-09-30 10:21:39.696,1,2023-09-30 10:21:43.758,0,0 days 00:00:04.062000,4.062,0-1 min
49,2023-09-30 10:21:48.835,1,2023-09-30 10:23:29.374,0,0 days 00:01:40.539000,100.539,1-2 min
50,2023-09-30 10:23:58.836,1,2023-09-30 10:27:11.808,0,0 days 00:03:12.972000,192.972,3-4 min
51,2023-09-30 10:27:15.869,1,2023-09-30 10:27:44.300,0,0 days 00:00:28.431000,28.431,0-1 min
52,2023-09-30 10:27:48.362,1,2023-09-30 10:27:57.500,0,0 days 00:00:09.138000,9.138,0-1 min
53,2023-09-30 10:28:00.562,1,2023-09-30 10:28:11.731,0,0 days 00:00:11.169000,11.169,0-1 min
54,2023-09-30 10:29:17.748,1,2023-09-30 10:29:41.102,0,0 days 00:00:23.354000,23.354,0-1 min
55,2023-09-30 10:31:05.395,1,2023-09-30 10:31:33.841,0,0 days 00:00:28.446000,28.446,0-1 min
56,2023-09-30 10:33:50.951,1,2023-09-30 10:36:01.968,0,0 days 00:02:11.017000,131.017,2-3 min
57,2023-09-30 10:36:31.414,1,2023-09-30 10:37:33.369,0,0 days 00:01:01.955000,61.955,1-2 min
58,2023-09-30 10:37:40.476,1,2023-09-30 10:38:17.046,0,0 days 00:00:36.570000,36.57,0-1 min
